Oct2019_seq_number	X12S_Oct2019_LSC.B.1.S22.L001	X12S_Oct2019_PP.B.1.S4.L001	X12S_Oct2019_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_12S_Oct2019_1236	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:95.9166666667;family:100.0;genus:95.9166666667;species:95.9166666667;	FJ616348.1;FJ616297.1;FJ616291.1;AF285932.1;JQ707048.1;LC499326.1;LC069643.1;LC091986.1;MH248164.1;JN935814.1;LC104623.1;FJ616386.1;KT824759.1;LC421688.1;KP677573.1;LC037006.1;AB969993.1;JN935809.1;AB969974.1;LC069665.1;FJ616360.1;JQ707028.1;LC500710.1;AY279570.1;FJ616289.1;LC069664.1;LC104628.1;FJ616293.1;FJ616290.1;NC_041192.1;AF285921.1;LC499303.1;LC421703.1;AP006016.1;JN935815.1;FJ616363.1;LC104614.1;KF374999.1;FJ616295.1;AF285920.1;HE961975.1;LC499268.1;AF285929.1;LC474189.1;FJ374787.1;FJ616350.1;LC069645.1;LC104622.1;JQ707032.1;LC104613.1
forward_12S_Oct2019_1237	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:90.5225343284;species:64.4409237821;	LC091962.1;LC091961.1;AB972182.1;LC277958.1;MH377811.1;AP003091.1;LC499276.1;AF271658.1;LC385180.1;AP003092.1;AB096005.1;AB108498.1;LC277951.1;AB969992.1;MH248170.1;KM986880.1;LC036993.1;LC037001.1;AB938141.1;LC036995.1;KF841444.1;AB969995.1;MH248171.1;LC277964.1;AB969924.1;LC036987.1;LC037009.1;KJ004518.1;KJ174514.1;LC277950.1;AB969927.1;LC036996.1;AB938140.1;AB969925.1;MH377814.1;MH377815.1;AB969955.1;LC277966.1;AB969926.1;KT819204.1;LC277967.1;KM978993.1;LC277956.1;LC458355.1;LC458246.1;LC277961.1;LC458354.1;LC277960.1;LC277962.1;MN102718.1;NC_044650.1;KJ192332.1;MH248247.1;MH248165.1;NC_037050.1;KP710215.1;LC036998.1;LC277963.1;LC036988.1;AB974543.1;LC500720.1;LC492385.1;LC277944.1;LC492388.1;LC492380.1;LC492375.1;LC492382.1;LC036994.1;LC492374.1;KF649843.1;LC492387.1;LC277953.1;KM201334.1;MH248172.1;KT805946.1;AB938139.1;LC492377.1;AP004444.1;LC492378.1;KM522837.1;LC492383.1;LC277968.1;LC037003.1;AB974544.1;LC492379.1;AB969990.1;LC492381.1;LC492386.1;LC492384.1;LC492376.1;LC277954.1;AP004445.1;AB969991.1
forward_12S_Oct2019_1238	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1;FJ616291.1
forward_12S_Oct2019_1239	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena helleri;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC037056.1
forward_12S_Oct2019_1240	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena helleri;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC037056.1
forward_12S_Oct2019_1241	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Embiotocidae;genus:Embiotoca;species:Embiotoca jacksoni;	superkingdom:100.0;phylum:100.0;class:100.0;order:33.3333333333;family:100.0;genus:100.0;species:100.0;	AF285918.1;KU530212.1;AY279573.1;LC091971.1;AY279572.1;LC091972.1;LC091976.1;LC091975.1;FJ616394.1;LC104608.1;AP009128.1;LC091977.1;LC091978.1;JN125222.1;JN125224.1;JN125226.1;JN125227.1;AB969916.1;JN125223.1;AP009129.1;AB969917.1;LC091973.1;LC091974.1;JN125225.1;AY279571.1
forward_12S_Oct2019_1242	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Embiotocidae;genus:Embiotoca;species:Embiotoca jacksoni;	superkingdom:100.0;phylum:100.0;class:100.0;order:30.75;family:100.0;genus:93.75;species:92.25;	AY279573.1;KU530212.1;AF285918.1;AY279572.1;LC091971.1;LC091972.1;LC091975.1;LC091976.1;LC104608.1;LC091978.1;FJ616394.1;LC091977.1;AP009128.1
forward_12S_Oct2019_1243	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Embiotocidae;genus:Embiotoca;species:Embiotoca jacksoni;	superkingdom:100.0;phylum:100.0;class:100.0;order:30.8416666667;family:100.0;genus:93.475;species:92.525;	AY279573.1;KU530212.1;AF285918.1;AY279572.1;LC091971.1;LC091972.1;LC091975.1;LC091976.1;AP009128.1;LC104608.1;LC091978.1;FJ616394.1;LC091977.1;JN125222.1;JN125224.1;LC091973.1;LC091974.1;JN125223.1;JN125227.1;AB969917.1;AY279571.1;JN125226.1;AP009129.1;JN125225.1;AB969916.1
forward_12S_Oct2019_1244	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Embiotocidae;genus:Embiotoca;species:Embiotoca jacksoni;	superkingdom:100.0;phylum:100.0;class:100.0;order:32.625;family:100.0;genus:98.125;species:97.875;	KU530212.1;AY279573.1;AF285918.1;LC091971.1;LC091972.1;AY279572.1;LC091975.1;LC091976.1;AP009128.1;LC091978.1;LC091977.1;LC104608.1;FJ616394.1;JN125224.1;JN125222.1;LC091974.1;LC091973.1;JN125227.1;JN125226.1;AB969917.1;AB969916.1;AP009129.1;JN125223.1;JN125225.1;AY279571.1
forward_12S_Oct2019_1245	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella simplicidens;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:78.8333333333;	KC136553.1;KC136546.1;KC136536.1;KC136577.1;KC136395.1;KC136370.1;LC021271.1;AB236128.1;AB214535.1;AB236130.1;AB236129.1
forward_12S_Oct2019_1246	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Semicossyphus;species:Semicossyphus pulcher;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	EU601226.1;AY279644.1;KY815247.1
forward_12S_Oct2019_1247	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella simplicidens;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:50.0888888889;	KC136553.1;KC136546.1;KC136536.1;KC136577.1;KC136395.1;KC136370.1;AB236128.1;AB214535.1;AB236129.1;LC021271.1;AB236130.1;AB233478.1;AB233477.1;LC037030.1;LC278153.1;LC492400.1;AB233475.1;KC136555.1;LC278022.1;LC278154.1;LC385204.1;LC037029.1;AB208649.1;AB233476.1;AB233483.1;AB233491.1;AB233479.1;AB233485.1;AB233488.1;LC421696.1;AB208648.1;LC458160.1;KC136477.1;AB972232.1;AB233480.1;AP011060.1;AB233489.1;AB233484.1;AB233482.1;AB233481.1;AB233487.1;LC492401.1;AB233486.1;AB233490.1
forward_12S_Oct2019_1248	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:59.8988095238;family:34.5595238095;genus:34.5595238095;species:33.8095238095;	KC136482.1;LC146222.1;LC458134.1;LC146225.1;LC421690.1;MG255111.1;KC136483.1;AB972198.1;AP006009.1;EF616892.1;LC421698.1;LC421697.1;AB938146.1;FJ416614.1;MG255113.1;AB972189.1;AP006010.1;LC036741.1;LC036779.1;LC036780.1;LC006297.3;DQ872160.1;LC036796.1;LC499270.1;LC499280.1;AB378750.1;LC278087.1;LC474184.1;LC069537.1;MF621711.1;FJ171339.1;AB378749.1;MF621710.1;JQ010987.1;KC136457.1;AB236130.1;AB214535.1;AP009169.1;AB236129.1;AB236128.1;LC021271.1;MH248193.1;KM658974.1;LC069633.1;KM030438.1;AB969895.1;LC037134.1;LC092033.1;LC278180.1;AP006025.1;LC421722.1;LC421735.1;LC278171.1;LC278029.1;LC278030.1;LC458214.1;LC421737.1;LC278172.1;AB972128.1;LC421736.1;LC499379.1;AP006814.1;LC104688.1;KC136517.1;KC136370.1;LC104689.1;LC340157.1;LC036807.1;LC340159.1;MH248192.1;MG748713.1;LC278185.1;LC278186.1;LC092102.1;LC421721.1;LC049802.1;KC136518.1;LC146283.1;MH377820.1;LC499334.1;AP017437.1;LC026623.1;LC499336.1;LC049824.1
forward_12S_Oct2019_1249	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Microcanthus;species:Microcanthus strigatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:82.9642857143;family:60.2833333333;genus:52.1166666667;species:52.1166666667;	EF616892.1;LC421697.1;AP006009.1;DQ872160.1;AB972189.1;AB938146.1;FJ416614.1;LC036741.1;LC036796.1;LC474184.1;AB378750.1;MF621711.1;MF621710.1;AB378749.1;KC136457.1;AB236129.1;LC021271.1;AB214535.1;AB236128.1;AB236130.1;MH248193.1;KC136370.1;LC037134.1;KM030438.1;AP006814.1;LC499379.1;LC104689.1;KC136517.1;LC104688.1;AB972212.1;LC278030.1;LC421736.1;LC458214.1;LC421735.1;LC278171.1;LC278029.1;AB972128.1;LC421737.1;LC278172.1;KC136518.1;LC340157.1;MH248192.1;LC036807.1;MG748713.1;LC340159.1;LC049802.1;AP017437.1;LC026623.1;LC026588.1;AP004440.1;AB969961.1;AP012503.1;AP002947.1
forward_12S_Oct2019_1250	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Embiotocidae;genus:Embiotoca;species:Embiotoca jacksoni;	superkingdom:100.0;phylum:100.0;class:100.0;order:32.4583333333;family:100.0;genus:97.625;species:97.375;	AF285918.1;KU530212.1;AY279573.1;LC091972.1;LC091971.1;AY279572.1;LC091975.1;LC091976.1;JN125224.1;JN125222.1;LC091973.1;LC091974.1;JN125223.1;AP009129.1;JN125226.1;JN125227.1;AB969916.1;AB969917.1;AY279571.1;JN125225.1
forward_12S_Oct2019_1251	0	1	0	not_found		
forward_12S_Oct2019_1252	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:56.35;family:30.2261904762;genus:30.2261904762;species:29.6261904762;	KC136482.1;MG255111.1;EF616892.1;AB972198.1;AP006009.1;LC421697.1;LC421698.1;KC136483.1;FJ416614.1;AB938146.1;AP006010.1;LC208773.1;LC036741.1;DQ872160.1;AB972189.1;LC500739.1;LC036780.1;LC036796.1;LC499280.1;LC146230.1;LC499270.1;LC474184.1;FJ171339.1;AB378750.1;MF621711.1;MF621710.1;LC069537.1;AB378749.1;JQ010987.1;KC136457.1;KM282429.1;AB236130.1;LC146237.1;AB236129.1;LC021271.1;KM658974.1;AB214535.1;MH248193.1;AP009169.1;AB236128.1;LC069635.1;LC069607.1;LC069633.1;AB969895.1;KM030438.1;LC278180.1;LC092033.1;AP006025.1;LC458214.1;LC278030.1;AB972128.1;LC421735.1;LC421737.1;LC421736.1;LC278029.1;LC278172.1;LC278171.1;KC136370.1;KC136517.1;LC037134.1;LC340157.1;LC036807.1;MG748713.1;LC340159.1;MH248192.1;LC278185.1;LC278186.1;LC092102.1;AP006814.1;LC499379.1;LC146280.1;KC136518.1;LC049802.1;LC146283.1;LC104688.1;LC104689.1;LC499334.1;LC026623.1;AP017437.1;AB972206.1;LC049824.1
forward_12S_Oct2019_1253	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Scombriformes;family:Scombropidae;genus:Scombrops;species:Scombrops boops;	superkingdom:100.0;phylum:100.0;class:100.0;order:42.9952380952;family:42.9952380952;genus:42.9952380952;species:24.019047619;	LC146222.1;LC421690.1;MG255111.1;LC146225.1;LC458134.1;AB938146.1;FJ416614.1;MG255113.1;LC036741.1;LC036779.1;LC006297.3;LC036780.1;LC208773.1;LC500739.1;LC499270.1;LC499280.1;LC146230.1;LC278087.1;AB378749.1;LC021264.1;LC474184.1;FJ171339.1;AB378750.1;MF621710.1;LC069537.1;MF621711.1;JQ010988.1;JQ010987.1;KT211434.1;KM658974.1;KM282429.1;AB214535.1;LC021271.1;AB236130.1;AB236128.1;AB236129.1;LC278180.1;AP006025.1;LC092033.1;LC421722.1;EF616874.1;LC092102.1;LC421721.1;LC278186.1;LC278185.1;LC037134.1;KC136517.1;LC146283.1;LC049824.1;LC499334.1;MG748713.1;MH248192.1;LC340159.1;LC036807.1;LC049802.1;AP006814.1;LC499379.1;KR152254.1;LC104688.1;KC136518.1;LC104689.1
forward_12S_Oct2019_1254	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.3333333333;species:99.3333333333;	KC136408.1;AP011062.1;LC037028.1;KC136450.1;KC136407.1;KC136380.1;KC136493.1;KC136441.1;KC136488.1;KC136525.1;KC136527.1;KC136496.1;KC136386.1;LC458161.1;KC136480.1;KC136512.1;KC136503.1;KC136406.1;KC136470.1;KC136365.1;LC037026.1;KC136542.1;KC136520.1;KC136508.1;KC136444.1;KC136463.1;KC136378.1;KC136545.1;KC136500.1;KC136504.1;KC136427.1;KC136402.1;KC136499.1;KC136516.1;KC136452.1;KC136362.1;KC136505.1;KC136543.1;KC136377.1;KC136422.1;LC037025.1;KC136418.1;KC136398.1;KC136478.1;KC136570.1;KC136428.1;KC136456.1;KC136540.1;KC136375.1;KC136529.1;KC136523.1;KC136497.1;KC136372.1;KC136405.1;KC136414.1;KC136453.1;KC136569.1;KC136373.1;KC136514.1;KC136473.1;KC136559.1;KC136524.1;KC136415.1;KC136446.1;KC136548.1;KC136565.1;KC136506.1;KC136426.1;KC136400.1;KC136557.1;LC037024.1;KC136554.1;KC136461.1;KC136468.1;KC136366.1;KC136526.1;KC136502.1;KC136421.1;KC136438.1;AB972197.1;KC136393.1;AP011061.1;KC136560.1;KC136535.1;KC136447.1;KC136549.1;KC136433.1;KC136489.1;KC136442.1;KC136437.1;KC136387.1;KC136455.1;KC136533.1;KC136416.1;KC136448.1;KC136376.1;KC136538.1;KC136578.1;KC136507.1;KC136417.1
forward_12S_Oct2019_1255	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:63.0833333333;family:44.0833333333;genus:44.0833333333;species:42.5833333333;	KC136482.1;LC146225.1;LC421690.1;LC458134.1;KC136483.1;AP006009.1;LC421697.1;EF616892.1;AB972198.1;LC421698.1;FJ416614.1;AB938146.1;LC036741.1;AB972189.1;LC006297.3;LC500739.1;LC036779.1;AP006010.1;LC036780.1;LC208773.1;DQ872160.1;LC036796.1;LC499280.1;MF621710.1;LC474184.1;MF621711.1;AB378750.1;LC069537.1;AB378749.1;JQ010987.1;JQ010988.1;KC136457.1;MH248193.1;AP009169.1;LC146237.1;KM282429.1;AB236128.1;AB214535.1;AB236129.1;LC021271.1;AB236130.1;LC069633.1;LC069635.1;AB969895.1;KM030438.1;LC421722.1;LC278180.1;LC092033.1;AP006025.1;LC421736.1;LC421735.1;AB972128.1;LC458214.1;LC278029.1;LC278172.1;LC421737.1;LC278171.1;LC278030.1;KC136370.1;KC136517.1;LC037134.1;LC340157.1;KR152244.1;MG748713.1;LC036807.1;LC340159.1;KR152254.1;MH248192.1;AF055600.1;LC421721.1;LC278185.1;LC278186.1;LC499379.1;LC146280.1;LC026623.1;AP017437.1;AP006814.1;KC136518.1;LC104689.1;LC104688.1;LC499334.1;LC049802.1;LC499336.1;JF519733.1
forward_12S_Oct2019_1256	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:98.6666666667;species:98.6666666667;	KC136408.1;LC037028.1;AP011062.1;AP006010.1;LC037027.1;KC136508.1;KC136503.1;KC136441.1;KC136496.1;KC136470.1;KC136386.1;KC136545.1;KC136488.1;KC136463.1;KC136444.1;KC136500.1;KC136380.1;KC136427.1;KC136407.1;KC136493.1;KC136413.1;KC136365.1;LC458161.1;KC136525.1;KC136480.1;KC136450.1;KC136543.1;KC136402.1;LC037025.1;KC136568.1;KC136573.1;KC136362.1;KC136422.1;KC136519.1;KC136505.1;KC136499.1;KC136570.1;KC136478.1;KC136540.1;KC136516.1;KC136375.1;KC136377.1;KC136531.1;KC136404.1;KC136452.1;KC136529.1;KC136464.1;KC136391.1;AY279561.1;KC136423.1;KC136558.1;EF616895.1;KC136409.1;KC136574.1;KC136537.1;KC136492.1;KC136535.1;KC136526.1;LC037024.1;KC136426.1;KC136489.1;KC136411.1;KC136361.1;KC136557.1;AB972197.1;KC136497.1;KC136372.1;KC136376.1;KC136415.1;KC136436.1;KC136437.1;KC136445.1;KC136454.1;KC136511.1;KC136433.1;KC136564.1;KC136569.1;KC136381.1;KC136373.1;KC136481.1;KC136523.1;KC136565.1;KC136369.1;KC136572.1;KC136502.1;KC136549.1;KC136554.1;KC136507.1;KC136383.1;KC136366.1;KC136578.1;KC136461.1;KC136524.1;KC136514.1;KC136363.1;KC136446.1;KC136541.1;KC136442.1;KC136400.1;KC136559.1
forward_12S_Oct2019_1257	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:95.0;species:95.0;	AY279632.1;KY815300.1;LC104651.1;AJ810136.1;KY815304.1;KY421797.1;AJ810137.1;LC146271.1;AY279611.1;AY279589.1;LC499368.1;AB974580.1
forward_12S_Oct2019_1258	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella simplicidens;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:74.0;	KC136553.1;KC136546.1;KC136395.1;KC136577.1;KC136536.1;AB236128.1;AB236130.1;LC021271.1;AB236129.1;KC136370.1;AB214535.1;LC492400.1;LC278153.1;AB233477.1;AB233478.1;LC385204.1;LC037030.1;LC278154.1;AB233475.1;LC037029.1;AB208649.1;KC136555.1;LC278022.1;AB233476.1;AB233488.1;AB233483.1;LC458160.1;AB233491.1;LC421696.1;AB233487.1;LC492401.1;AB972232.1;AP011060.1;AB233484.1;AB233481.1;AB233485.1;AB233479.1;AB208648.1;AB233489.1;KC136477.1;AB233482.1;AB233486.1;AB233490.1;AB233480.1
forward_12S_Oct2019_1259	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella simplicidens;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:79.625;	KC136553.1;KC136546.1;KC136577.1;KC136536.1;KC136395.1;AB236128.1;LC021271.1;AB236130.1;AB236129.1;KC136370.1;AB214535.1;LC278154.1;LC278022.1;AB233477.1;AB233478.1;AB233476.1;LC037029.1;LC278153.1;KC136555.1;LC385204.1;LC037030.1;AB208649.1;AB233475.1;LC492400.1;LC458160.1;AB233482.1;LC492401.1;AB233484.1;AB233488.1;AB208648.1;AB233489.1;AB972232.1;KC136477.1;AB233479.1;AB233491.1;AP011060.1;AB233481.1;AB233485.1;AB233487.1;AB233483.1;LC421696.1;AB233486.1;AB233490.1;AB233480.1
forward_12S_Oct2019_1260	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella simplicidens;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:75.1666666667;	KC136553.1;KC136546.1;KC136395.1;KC136577.1;KC136536.1;AB236129.1;AB236130.1;AB236128.1;LC021271.1;AB214535.1;KC136370.1;LC278022.1;AB208649.1;LC278154.1;LC037030.1;LC492400.1;AB233477.1;AB233475.1;AB233476.1;AB233478.1;LC278153.1;KC136555.1;LC385204.1;LC037029.1;AB233483.1;LC492401.1;KC136477.1;LC458160.1;AB233489.1;AB233479.1;AB233484.1;AB233482.1;AB233491.1;AB233488.1;AB233481.1;LC421696.1;AB233485.1;AB208648.1;AB972232.1;AB233487.1;AP011060.1;AB233490.1;AB233480.1;AB233486.1
forward_12S_Oct2019_1261	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Banjosidae;genus:Banjos;species:Banjos banjos;	superkingdom:100.0;phylum:100.0;class:100.0;order:59.9166666667;family:56.25;genus:56.25;species:56.25;	DQ336169.1;LC146225.1;LC421698.1;EF616892.1;AB972198.1;KT345965.1;LC036741.1;AP011066.1;AB739063.1;LC104345.1;AB128870.1;AB734122.1;AB128871.1;AB972242.1;KX373635.1;AB214535.1;AB236129.1;LC021271.1;AB236130.1;AB236128.1;AB969964.1;MH248193.1;KC136370.1;KC136517.1;MH248187.1;KC136579.1;KC136518.1;LC340157.1;KM233212.1;LC037134.1;LC499379.1;AP006814.1;LC104689.1;LC104688.1
forward_12S_Oct2019_1262	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Opistognathidae;genus:Opistognathus;species:Opistognathus sp. MEGANE-AGOAMADAI;	superkingdom:100.0;phylum:100.0;class:100.0;order:44.9444444444;family:53.2916666667;genus:53.2916666667;species:44.9444444444;	JF911713.1;AP009126.1;GU477631.1;FJ792637.1;MH688243.1;GU477628.1;GU477625.1;AB974587.1;GU370126.1;LC278297.1;LC499410.1;GU477626.1;LC340221.1;AY279564.1;LC340218.1;LC499372.1;LC146288.1;KY798477.1;FJ616347.1;LC104626.1;KF359849.1;LC277868.1;LC145860.1;KF359846.1;KY798478.1;LC092039.1;LC092040.1;LC092038.1;LC278243.1;KF359845.1;LC277865.1;AB974635.1;LC499343.1;LC278130.1;LC499565.1;KF359847.1;HM447240.1;NC_039423.1;AB974476.1
forward_12S_Oct2019_1263	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella simplicidens;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:72.5833333333;	KC136553.1;KC136546.1;KC136536.1;KC136395.1;KC136577.1;KC136370.1;AB236130.1;AB236128.1;AB214535.1;LC021271.1;AB236129.1;LC278022.1;LC037030.1;LC385204.1;KC136555.1;AB233476.1;AB208649.1;LC278153.1;LC037029.1;LC278154.1;AB233477.1;AB233478.1;AB233475.1;LC492400.1;AB972232.1;LC421696.1;AB233479.1;KC136477.1;AB233489.1;AB233491.1;AB233484.1;AB233480.1;AB233487.1;AB233481.1;AB233485.1;AB233488.1;AP011060.1;AB208648.1;AB233482.1;LC492401.1;LC458160.1;AB233483.1;AB233486.1;AB233490.1
forward_12S_Oct2019_1264	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Lutjaniformes;family:Lutjanidae;genus:Lutjanus;species:Lutjanus argentimaculatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:43.5591269841;family:42.5591269841;genus:42.0591269841;species:24.4714285714;	MG255111.1;LC458134.1;LC421690.1;LC146225.1;LC006297.3;LC036779.1;LC500739.1;LC208773.1;LC036780.1;LC146222.1;LC021264.1;AB938146.1;FJ416614.1;KC136476.1;AP014538.1;LC278087.1;MG255113.1;FJ171339.1;LC146230.1;LC499280.1;LC499270.1;AB739063.1;JQ010988.1;AB128867.1;JQ010987.1;LC474184.1;LC069537.1;AB378750.1;AB378749.1;MF621711.1;MF621710.1;LC069633.1;LC069635.1;LC069607.1;AB969982.1;AB128871.1;MH248193.1;LC104604.1;LC499338.1;LC499335.1;LC458159.1;KM658974.1;LC146237.1;AP009169.1;AB972190.1;MH248192.1;MG748713.1;LC340159.1;LC036807.1;LC340157.1;LC069611.1;LC069622.1;LC146280.1;AB236129.1;LC021271.1;AB236130.1;AB236128.1;AB214535.1;LC278180.1;AP006025.1;LC092033.1;LC421722.1;KM282429.1;AB233478.1;LC458139.1;KC136395.1;KC136577.1;KC136370.1;KC136536.1;LC421721.1;LC278185.1;LC092102.1;LC278186.1;LC146283.1;LC499334.1;LC278252.1;LC278254.1;LC499336.1;KC136517.1;LC499519.1;LC385184.1;KC136518.1
forward_12S_Oct2019_1265	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Scombriformes;family:Scombropidae;genus:Scombrops;species:Scombrops boops;	superkingdom:100.0;phylum:100.0;class:100.0;order:56.5746658312;family:56.5746658312;genus:56.5746658312;species:33.3978279031;	LC006297.3;LC036780.1;LC208773.1;LC036779.1;LC500739.1;LC021264.1;MG255111.1;LC421690.1;AB972242.1;LC458134.1;LC146222.1;LC146225.1;MH301072.1;MG255113.1;MH324420.1;LC499278.1;LC499383.1;LC499271.1;LC499279.1;KP013112.1;MH301081.1;MF621715.1;LC278087.1;JQ010987.1;JQ010988.1;AP009169.1;LC499280.1;KY660677.1;LC499270.1;KY815235.1;LC146237.1;FJ416614.1;FJ171339.1;AB938146.1;LC458159.1;LC146230.1;LC069607.1;LC026677.1;LC069633.1;KM370985.1;LC069635.1;LC069551.1;MF621711.1;LC474184.1;AB378749.1;LC069537.1;AB378750.1;MF621710.1;KM658974.1;LC499456.1;LC499338.1;LC499335.1;JN125223.1;KC196074.1;LC069611.1;LC069622.1;LC499334.1;LC278238.1;KM282429.1;LC499484.1;LC278180.1;LC421722.1;AP006025.1;LC092033.1;LC049754.1;LC146283.1;LC278185.1;LC421721.1;LC092102.1;LC278186.1;LC499336.1;AP002921.1;AB969857.1;LC193282.1
forward_12S_Oct2019_1266	0	1	0	not_found		
forward_12S_Oct2019_1267	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Embiotocidae;genus:Brachyistius;species:Brachyistius frenatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:46.7;family:100.0;genus:93.4;species:93.4;	AY279572.1;AY279573.1;LC091972.1;LC091971.1;KU530212.1;LC091974.1;AF285918.1;LC091973.1;LC091976.1;LC091975.1;LC091978.1;FJ616394.1;AP009128.1;LC104608.1;LC091977.1
forward_12S_Oct2019_1268	0	1	0	Unclassified		
forward_12S_Oct2019_1269	0	0	1	not_found		
