fishcard_seq_number	c19_fishcard_LSC.B.1.S22.L001	c19_fishcard_PP.B.1.S4.L001	c19_fishcard_PedRF.B.1.S13.L001	sum taxonomy
forward_c19_fishcard_735	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_736	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_737	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;;
forward_c19_fishcard_738	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_739	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_740	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_741	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_742	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_743	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_744	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_745	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_746	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_747	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_748	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_749	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;;
forward_c19_fishcard_750	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_751	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_752	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;;
forward_c19_fishcard_753	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_754	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_755	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_756	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_757	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_758	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_759	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;;
forward_c19_fishcard_760	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_761	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_762	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_763	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_764	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_765	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_766	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_767	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_768	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_769	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_770	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_771	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_772	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_773	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_774	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_775	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_776	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_777	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_778	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_779	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_780	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_781	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_782	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_783	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_784	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_785	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_786	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_787	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_788	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_789	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_790	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_791	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_792	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_793	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_794	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_795	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_796	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_797	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_798	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_799	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_800	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_801	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_802	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_803	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_804	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_805	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_806	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_807	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_808	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_809	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_810	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_811	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_812	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_813	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_814	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_815	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;
forward_c19_fishcard_816	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_817	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;
forward_c19_fishcard_818	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_819	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_820	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_821	1	0	0	
forward_c19_fishcard_822	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_823	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_824	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_825	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_826	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_827	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_828	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_829	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;
forward_c19_fishcard_830	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_831	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_832	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_833	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_834	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_835	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_836	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;;
forward_c19_fishcard_837	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_838	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_839	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_840	1	0	0	
forward_c19_fishcard_841	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_842	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_843	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_844	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_845	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_846	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_847	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_848	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_849	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_850	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_851	1	0	0	
forward_c19_fishcard_852	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_853	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_854	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_855	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_856	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_857	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_858	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_859	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_860	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_861	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_862	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_863	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_864	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_865	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_866	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_867	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_868	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_869	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_870	1	0	0	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica
forward_c19_fishcard_871	1	0	0	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica
forward_c19_fishcard_872	1	0	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;;
forward_c19_fishcard_873	1	0	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;;
forward_c19_fishcard_874	1	0	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;;
forward_c19_fishcard_875	1	0	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;;
forward_c19_fishcard_876	1	0	0	Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Platytroctidae;Normichthys;Normichthys operosus
forward_c19_fishcard_877	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_c19_fishcard_878	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_c19_fishcard_879	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_c19_fishcard_880	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_c19_fishcard_881	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_c19_fishcard_882	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_c19_fishcard_883	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_c19_fishcard_884	1	0	0	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
forward_c19_fishcard_885	1	0	0	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
forward_c19_fishcard_886	1	0	0	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
forward_c19_fishcard_887	1	0	0	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
forward_c19_fishcard_888	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_889	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_890	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_891	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_892	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_893	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_894	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_895	1	0	0	
forward_c19_fishcard_896	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_897	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_898	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_899	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_900	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_901	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_902	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_903	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_904	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_905	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;;
forward_c19_fishcard_906	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_907	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_908	1	0	0	
forward_c19_fishcard_909	1	0	0	
forward_c19_fishcard_910	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_911	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_912	1	0	0	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
forward_c19_fishcard_913	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_914	1	0	0	
forward_c19_fishcard_915	1	0	0	
forward_c19_fishcard_916	1	0	0	
forward_c19_fishcard_917	1	0	0	
forward_c19_fishcard_918	1	0	0	
forward_c19_fishcard_919	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_920	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_921	1	0	0	
forward_c19_fishcard_922	1	0	0	
forward_c19_fishcard_923	1	0	0	
forward_c19_fishcard_924	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_925	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_926	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_927	0	1	0	
forward_c19_fishcard_928	0	1	0	
forward_c19_fishcard_929	0	1	0	
forward_c19_fishcard_930	0	1	0	
forward_c19_fishcard_931	0	1	0	
forward_c19_fishcard_932	0	1	0	
forward_c19_fishcard_933	0	1	0	
forward_c19_fishcard_934	0	1	0	
forward_c19_fishcard_935	0	1	0	
forward_c19_fishcard_936	0	1	0	
forward_c19_fishcard_937	0	1	0	
forward_c19_fishcard_938	0	1	0	
forward_c19_fishcard_939	0	1	0	
forward_c19_fishcard_940	0	1	0	
forward_c19_fishcard_941	0	1	0	
forward_c19_fishcard_942	0	1	0	
forward_c19_fishcard_943	0	1	0	
forward_c19_fishcard_944	0	1	0	
forward_c19_fishcard_945	0	1	0	
forward_c19_fishcard_946	0	1	0	
forward_c19_fishcard_947	0	1	0	
forward_c19_fishcard_948	0	1	0	
forward_c19_fishcard_949	0	1	0	
forward_c19_fishcard_950	0	1	0	
forward_c19_fishcard_951	0	1	0	
forward_c19_fishcard_952	0	1	0	
forward_c19_fishcard_953	0	1	0	
forward_c19_fishcard_954	0	1	0	
forward_c19_fishcard_955	0	1	0	
forward_c19_fishcard_956	0	1	0	
forward_c19_fishcard_957	0	1	0	
forward_c19_fishcard_958	0	1	0	
forward_c19_fishcard_959	0	1	0	
forward_c19_fishcard_960	0	1	0	
forward_c19_fishcard_961	0	1	0	
forward_c19_fishcard_962	0	1	0	
forward_c19_fishcard_963	0	1	0	
forward_c19_fishcard_964	0	1	0	
forward_c19_fishcard_965	0	1	0	
forward_c19_fishcard_966	0	1	0	
forward_c19_fishcard_967	0	1	0	
forward_c19_fishcard_968	0	1	0	
forward_c19_fishcard_969	0	1	0	
forward_c19_fishcard_970	0	1	0	
forward_c19_fishcard_971	0	1	0	
forward_c19_fishcard_972	0	1	0	
forward_c19_fishcard_973	0	1	0	
forward_c19_fishcard_974	0	1	0	
forward_c19_fishcard_975	0	1	0	
forward_c19_fishcard_976	0	1	0	
forward_c19_fishcard_977	0	1	0	
forward_c19_fishcard_978	0	1	0	
forward_c19_fishcard_979	0	1	0	
forward_c19_fishcard_980	0	1	0	
forward_c19_fishcard_981	0	1	0	
forward_c19_fishcard_982	0	1	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_983	0	1	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_984	0	1	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_985	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_986	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_987	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_988	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_989	0	1	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_990	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_991	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_992	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_993	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_994	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_995	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_996	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_997	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_998	0	1	0	
forward_c19_fishcard_999	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_1000	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_1001	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_1002	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_1003	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_1004	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_1005	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
