fishcard_seq_number	c19_fishcard_LSC.B.1.S22.L001	c19_fishcard_PP.B.1.S4.L001	c19_fishcard_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_c19_fishcard_1244	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Embiotocidae;genus:Embiotoca;species:Embiotoca jacksoni;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:90.5047619048;species:90.5047619048;	FISHCARD_miu_189.1;AF285918.1;KU530212.1;AY279573.1;FISHCARD_miu_701.1;FISHCARD_miu_044.1;FISHCARD_miu_163.1;FISHCARD_miu_685.1;AY279572.1;FISHCARD_miu_043.1;FISHCARD_miu_406.1;LC091971.1;LC091972.1;LC091976.1;FISHCARD_miu_266.1;LC091975.1;FISHCARD_miu_264.1;FISHCARD_miu_164.1;FISHCARD_miu_141.1;LC104608.1;FJ616394.1;LC091978.1;LC091977.1;AP009128.1;FISHCARD_miu_142.1;FISHCARD_miu_265.1;JN125222.1;JN125224.1;FISHCARD_miu_263.1;LC091973.1;LC091974.1;AP009129.1;JN125227.1;JN125223.1;FISHCARD_miu_160.1;FISHCARD_miu_046.1;AB969916.1;JN125226.1;AB969917.1;JN125225.1;FISHCARD_miu_162.1;FISHCARD_miu_161.1;AY279571.1
forward_c19_fishcard_1245	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:81.0;	FISHCARD_miu_289.1;KC136553.1;KC136546.1;KC136536.1;KC136395.1;KC136577.1;KC136370.1;AB214535.1;AB236128.1;AB236129.1;LC021271.1;AB236130.1
forward_c19_fishcard_1246	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Semicossyphus;species:Semicossyphus pulcher;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AY279644.1;EU601226.1;FISHCARD_miu_293.1;KY815247.1
forward_c19_fishcard_1247	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:71.8145021645;	FISHCARD_miu_289.1;KC136553.1;KC136536.1;KC136546.1;KC136577.1;KC136395.1;KC136370.1;AB236128.1;AB236129.1;AB214535.1;LC021271.1;AB236130.1;LC278154.1;LC385204.1;LC278022.1;LC037029.1;AB208649.1;AB233477.1;AB233475.1;LC492400.1;LC278153.1;LC037030.1;AB233478.1;AB233476.1;KC136555.1;AB233481.1;AB233482.1;AB233480.1;AB208648.1;AB233488.1;AB233491.1;LC492401.1;AB233487.1;AB233483.1;AB233485.1;AB972232.1;AB233479.1;KC136477.1;AP011060.1;LC458160.1;LC421696.1;AB233484.1;AB233489.1;AB233490.1;AB233486.1
forward_c19_fishcard_1248	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.35;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_580.1
forward_c19_fishcard_1249	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.35;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_580.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1
forward_c19_fishcard_1250	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Embiotocidae;genus:Embiotoca;species:Embiotoca jacksoni;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:90.5761904762;species:90.5761904762;	AF285918.1;KU530212.1;FISHCARD_miu_189.1;AY279573.1;FISHCARD_miu_701.1;FISHCARD_miu_163.1;FISHCARD_miu_685.1;FISHCARD_miu_044.1;FISHCARD_miu_043.1;LC091972.1;AY279572.1;FISHCARD_miu_406.1;LC091971.1;FISHCARD_miu_266.1;LC091975.1;FISHCARD_miu_264.1;LC091976.1;FISHCARD_miu_164.1;FISHCARD_miu_141.1;FISHCARD_miu_263.1;JN125222.1;JN125224.1;LC091973.1;LC091974.1;FISHCARD_miu_046.1;AB969917.1;AP009129.1;JN125227.1;JN125226.1;FISHCARD_miu_160.1;AB969916.1;JN125223.1;AY279571.1;FISHCARD_miu_162.1;FISHCARD_miu_161.1;JN125225.1
forward_c19_fishcard_1251	0	1	0	not_found		
forward_c19_fishcard_1252	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:94.85;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1;FISHCARD_miu_678.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_580.1
forward_c19_fishcard_1253	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:94.9;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_678.1;FISHCARD_miu_683.1;FISHCARD_miu_580.1
forward_c19_fishcard_1254	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.5;species:99.5;	FISHCARD_miu_291.1;KC136408.1;AP011062.1;LC037028.1;KC136444.1;KC136427.1;KC136463.1;LC037026.1;KC136450.1;KC136525.1;KC136470.1;KC136527.1;KC136545.1;KC136512.1;KC136500.1;KC136520.1;KC136368.1;KC136503.1;KC136441.1;KC136394.1;KC136504.1;KC136378.1;KC136493.1;KC136365.1;LC458161.1;KC136386.1;KC136539.1;KC136404.1;KC136375.1;KC136456.1;KC136540.1;KC136568.1;KC136570.1;LC037025.1;KC136519.1;KC136398.1;KC136499.1;KC136402.1;KC136382.1;KC136516.1;KC136544.1;KC136422.1;KC136418.1;KC136573.1;KC136478.1;KC136452.1;KC136529.1;KC136464.1;KC136526.1;AP011061.1;KC136426.1;KC136523.1;KC136548.1;KC136491.1;KC136445.1;KC136446.1;KC136533.1;KC136479.1;KC136438.1;KC136421.1;KC136538.1;KC136363.1;KC136572.1;KC136455.1;KC136557.1;KC136502.1;KC136433.1;KC136376.1;KC136414.1;KC136442.1;KC136436.1;KC136560.1;KC136487.1;KC136565.1;KC136448.1;KC136383.1;AB972197.1;KC136416.1;KC136461.1;KC136373.1;KC136578.1;KC136481.1;KC136497.1;KC136390.1;KC136537.1;KC136559.1;KC136473.1;KC136437.1;KC136554.1;KC136569.1;KC136506.1;KC136507.1;KC136372.1;FISHCARD_miu_167.1;KC136514.1;KC136454.1;KC136366.1;LC037024.1;KC136535.1;KC136387.1
forward_c19_fishcard_1255	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:97.5;	FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1
forward_c19_fishcard_1256	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.0;species:99.0;	FISHCARD_miu_291.1;KC136408.1;LC037028.1;AP011062.1;KC136503.1;KC136504.1;KC136386.1;LC037027.1;KC136545.1;KC136407.1;KC136493.1;KC136508.1;KC136394.1;KC136427.1;KC136525.1;KC136368.1;KC136470.1;KC136450.1;KC136480.1;LC037026.1;KC136496.1;KC136527.1;KC136378.1;KC136406.1;KC136539.1;KC136499.1;KC136570.1;KC136404.1;KC136519.1;KC136451.1;KC136418.1;KC136550.1;KC136474.1;KC136568.1;KC136516.1;KC136452.1;KC136478.1;KC136531.1;LC037025.1;KC136398.1;KC136377.1;KC136375.1;KC136529.1;KC136464.1;KC136574.1;EF616895.1;KC136411.1;KC136361.1;KC136491.1;KC136489.1;KC136572.1;KC136492.1;KC136506.1;KC136548.1;KC136387.1;KC136366.1;KC136578.1;KC136479.1;KC136390.1;KC136511.1;KC136541.1;KC136557.1;KC136437.1;KC136445.1;KC136487.1;KC136442.1;FISHCARD_miu_167.1;KC136507.1;KC136514.1;KC136453.1;KC136446.1;KC136383.1;KC136448.1;KC136372.1;AB972197.1;KC136438.1;KC136535.1;KC136526.1;KC136564.1;AP011061.1;KC136454.1;KC136533.1;LC037024.1;KC136537.1;KC136497.1;KC136569.1;KC136473.1;KC136414.1;KC136405.1;KC136426.1;KC136363.1;KC136381.1;KC136373.1;KC136481.1;KC136559.1;KC136455.1;KC136538.1;KC136416.1;KC136565.1;AP014538.1
forward_c19_fishcard_1257	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:56.8333333333;species:56.8333333333;	FISHCARD_miu_292.1;FISHCARD_miu_165.1;AY279632.1;KY815300.1;LC104651.1;AJ810136.1;KY815304.1;AY279611.1;KY421797.1;AJ810137.1;LC146271.1;AB974580.1;AY279589.1;LC499368.1
forward_c19_fishcard_1258	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:84.4166666667;	FISHCARD_miu_289.1;KC136553.1;KC136546.1;KC136577.1;KC136395.1;KC136536.1;LC021271.1;AB236129.1;KC136370.1;AB236128.1;AB236130.1;AB214535.1;LC278153.1;LC037029.1;AB233478.1;LC492400.1;LC037030.1;AB233476.1;LC385204.1;LC278022.1;AB208649.1;LC278154.1;AB233475.1;AB233477.1;KC136555.1;AB208648.1;AB233481.1;AB233488.1;AB233487.1;AB233479.1;AB233491.1;LC458160.1;AB233482.1;LC421696.1;KC136477.1;AB233485.1;AP011060.1;AB972232.1;LC492401.1;AB233489.1;AB233483.1;AB233484.1;AB233486.1;AB233480.1;AB233490.1
forward_c19_fishcard_1259	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:87.5;	FISHCARD_miu_289.1;KC136553.1;KC136546.1;KC136536.1;KC136577.1;KC136395.1;AB214535.1;AB236128.1;LC021271.1;AB236129.1;AB236130.1;KC136370.1;LC492400.1;AB233478.1;AB233477.1;LC037030.1;LC385204.1;AB208649.1;AB233476.1;LC278153.1;KC136555.1;AB233475.1;LC278154.1;LC037029.1;LC278022.1;AB233489.1;AB233484.1;AP011060.1;AB233479.1;AB233491.1;AB972232.1;LC421696.1;AB208648.1;AB233481.1;AB233487.1;KC136477.1;LC492401.1;LC458160.1;AB233482.1;AB233488.1;AB233485.1;AB233483.1;AB233486.1;AB233480.1;AB233490.1
forward_c19_fishcard_1260	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:79.5;	FISHCARD_miu_289.1;KC136553.1;KC136546.1;KC136577.1;KC136395.1;KC136536.1;KC136370.1;AB236130.1;AB214535.1;LC021271.1;AB236128.1;AB236129.1;LC037029.1;LC492400.1;LC278153.1;LC037030.1;AB233476.1;AB233478.1;AB233475.1;LC385204.1;LC278022.1;LC278154.1;AB233477.1;AB208649.1;KC136555.1;KC136477.1;AB233483.1;AB233479.1;AB233485.1;AB233482.1;AB233491.1;AB208648.1;LC421696.1;LC492401.1;AB233481.1;LC458160.1;AB233489.1;AP011060.1;AB233487.1;AB233488.1;AB233484.1;AB972232.1;AB233480.1;AB233486.1;AB233490.1
forward_c19_fishcard_1261	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.35;	FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_676.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1;FISHCARD_miu_688.1;FISHCARD_miu_580.1
forward_c19_fishcard_1262	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Blenniiformes;family:Clinidae;genus:Heterostichus;species:Heterostichus rostratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_244.1;FISHCARD_miu_517.1;FISHCARD_miu_190.1;FISHCARD_miu_243.1
forward_c19_fishcard_1263	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:84.5;	FISHCARD_miu_289.1;KC136553.1;KC136546.1;KC136536.1;KC136577.1;KC136395.1;KC136370.1;LC021271.1;AB236130.1;AB214535.1;AB236128.1;AB236129.1;LC037030.1;AB233478.1;LC278022.1;LC278154.1;LC385204.1;AB233476.1;AB233477.1;LC492400.1;AB208649.1;AB233475.1;KC136555.1;LC278153.1;LC037029.1;LC458160.1;AP011060.1;AB233483.1;AB233484.1;AB208648.1;AB233481.1;AB233488.1;AB233487.1;AB233480.1;AB233485.1;KC136477.1;AB972232.1;LC421696.1;LC492401.1;AB233482.1;AB233491.1;AB233489.1;AB233479.1;AB233490.1;AB233486.1
forward_c19_fishcard_1264	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.55;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_688.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1
forward_c19_fishcard_1265	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:96.5;family:96.5;genus:96.5;species:92.25;	FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_348.1
forward_c19_fishcard_1266	0	1	0	not_found		
forward_c19_fishcard_1267	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Embiotocidae;genus:Brachyistius;species:Brachyistius frenatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:95.125;species:95.125;	FISHCARD_miu_141.1;FISHCARD_miu_044.1;FISHCARD_miu_685.1;FISHCARD_miu_266.1;FISHCARD_miu_163.1;LC091974.1;LC091973.1;FISHCARD_miu_189.1;LC091971.1;AF285918.1;AY279572.1;AY279573.1;FISHCARD_miu_406.1;LC091972.1;FISHCARD_miu_043.1;KU530212.1;LC091976.1;FISHCARD_miu_164.1;FISHCARD_miu_701.1;LC091975.1;FISHCARD_miu_264.1;LC091977.1;FISHCARD_miu_142.1;AP009128.1;LC091978.1;LC104608.1;FISHCARD_miu_265.1;FJ616394.1
forward_c19_fishcard_1268	0	1	0	Unclassified		
forward_c19_fishcard_1269	0	0	1	not_found		
forward_c19_fishcard_1270	0	0	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Polyprionidae;genus:Stereolepis;species:Stereolepis gigas;	superkingdom:100.0;phylum:100.0;class:100.0;order:99.8;family:99.8;genus:99.8;species:99.4;	FISHCARD_miu_343.1;DQ336169.1;KT373795.1;AB974539.1;LC049667.1;MF966980.1;AB974541.1;MF966978.1;MF966982.1;KT345965.1;MF966979.1;MF966985.1;MF966984.1;MF966981.1;KR075132.1;MF966983.1;KC136476.1;LC208773.1;KC136466.1;LC036780.1;EF616891.1;AP014527.1;AP014536.1;AP014538.1;AP017435.1;LC021164.1;KJ907732.1;LC146227.1;AB974645.1;KF815977.1;AB128869.1;FISHCARD_miu_333.1;AB128866.1;AB128867.1;AB128868.1;AB741956.1;AB739063.1;AB974643.1;KM370980.1;KJ960194.1;KF746198.1;LC021266.1;KY660677.1;KY815235.1;JN378751.1;JF972568.1;KC567664.1;KJ644781.1;LC458155.1;AB734122.1;AB128871.1;LC458154.1;AB128870.1;AB974575.1
forward_c19_fishcard_1271	0	0	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Polyprionidae;genus:Stereolepis;species:Stereolepis gigas;	superkingdom:100.0;phylum:100.0;class:100.0;order:85.325;family:83.825;genus:83.825;species:79.2;	FISHCARD_miu_343.1;DQ336169.1;KT373795.1;AB974539.1;LC049667.1;KT345965.1;AB974541.1;MF966982.1;MF966980.1;MF966978.1;MF966984.1;MF966979.1;MF966985.1;MF966981.1;MF966983.1;EF616891.1;KC136466.1;KC136476.1;KR075132.1;AP014538.1;LC146227.1;LC006297.3;LC036780.1;LC036779.1;AB974645.1;KF815977.1;KJ907732.1;AP014536.1;LC021266.1;LC458154.1;AB974575.1;AB128867.1;LC458155.1;AB974643.1;AB128869.1;AB128868.1;FISHCARD_miu_333.1;AB741956.1;KM370980.1;KJ644781.1;KY660677.1;AB969963.1;KC567664.1;JF972568.1;FISHCARD_miu_395.1;LC055190.1;KY815235.1;JN378751.1;LC146222.1;KJ960194.1;KF746198.1;AB739063.1;FISHCARD_miu_348.1;AB128866.1;AP009171.1;LC037083.1;AB734122.1
forward_c19_fishcard_1272	0	0	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.85;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1;FISHCARD_miu_678.1;FISHCARD_miu_683.1;FISHCARD_miu_699.1
forward_c19_fishcard_1273	0	0	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Semicossyphus;species:Semicossyphus pulcher;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AY279644.1;FISHCARD_miu_293.1;EU601226.1;LC499589.1;AB974611.1;LC340201.1;LC104650.1;KY815247.1;LC499309.1
forward_c19_fishcard_1274	0	0	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Semicossyphus;species:Semicossyphus pulcher;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	EU601226.1;FISHCARD_miu_293.1;AY279644.1;AB974611.1;LC499589.1;KY815247.1;LC340201.1;AY279588.1;AJ810129.1
forward_c19_fishcard_1275	0	0	1	not_found		
forward_c19_fishcard_1276	0	0	1	not_found		
forward_c19_fishcard_1277	0	0	1	not_found		
forward_c19_fishcard_1278	0	0	1	not_found		
forward_c19_fishcard_1279	0	0	1	not_found		
forward_c19_fishcard_1280	0	0	1	not_found		
forward_c19_fishcard_1281	0	0	1	not_found		
forward_c19_fishcard_1282	0	0	1	not_found		
forward_c19_fishcard_1283	0	0	1	not_found		
forward_c19_fishcard_1284	0	0	1	not_found		
forward_c19_fishcard_1285	0	0	1	not_found		
forward_c19_fishcard_1286	0	0	1	not_found		
forward_c19_fishcard_1287	0	0	1	not_found		
forward_c19_fishcard_1288	0	0	1	not_found		
forward_c19_fishcard_1289	0	0	1	not_found		
forward_c19_fishcard_1290	0	0	1	not_found		
forward_c19_fishcard_1291	0	0	1	not_found		
forward_c19_fishcard_1292	0	0	1	not_found		
forward_c19_fishcard_1293	0	0	1	not_found		
forward_c19_fishcard_1294	0	0	1	not_found		
forward_c19_fishcard_1295	0	0	1	not_found		
forward_c19_fishcard_1296	0	0	1	not_found		
forward_c19_fishcard_1297	0	0	1	not_found		
forward_c19_fishcard_1298	0	0	1	not_found		
forward_c19_fishcard_1299	0	0	1	not_found		
forward_c19_fishcard_1300	0	0	1	not_found		
forward_c19_fishcard_1301	0	0	1	not_found		
forward_c19_fishcard_1302	0	0	1	not_found		
forward_c19_fishcard_1303	0	0	1	not_found		
forward_c19_fishcard_1304	0	0	1	not_found		
forward_c19_fishcard_1305	0	0	1	not_found		
forward_c19_fishcard_1306	0	0	1	not_found		
forward_c19_fishcard_1307	0	0	1	not_found		
forward_c19_fishcard_1308	0	0	1	not_found		
forward_c19_fishcard_1309	0	0	1	not_found		
forward_c19_fishcard_1310	0	0	1	not_found		
forward_c19_fishcard_1311	0	0	1	not_found		
forward_c19_fishcard_1312	0	0	1	not_found		
forward_c19_fishcard_1313	0	0	1	not_found		
forward_c19_fishcard_1314	0	0	1	not_found		
forward_c19_fishcard_1315	0	0	1	not_found		
forward_c19_fishcard_1316	0	0	1	not_found		
forward_c19_fishcard_1317	0	0	1	not_found		
forward_c19_fishcard_1318	0	0	1	not_found		
forward_c19_fishcard_1319	0	0	1	not_found		
forward_c19_fishcard_1320	0	0	1	not_found		
forward_c19_fishcard_1321	0	0	1	not_found		
forward_c19_fishcard_1322	0	0	1	not_found		
forward_c19_fishcard_1323	0	0	1	not_found		
forward_c19_fishcard_1324	0	0	1	not_found		
forward_c19_fishcard_1325	0	0	1	not_found		
forward_c19_fishcard_1326	0	0	1	not_found		
forward_c19_fishcard_1327	0	0	1	not_found		
forward_c19_fishcard_1328	0	0	1	not_found		
forward_c19_fishcard_1329	0	0	1	not_found		
forward_c19_fishcard_1330	0	0	1	not_found		
forward_c19_fishcard_1331	0	0	1	not_found		
forward_c19_fishcard_1332	0	0	1	not_found		
forward_c19_fishcard_1333	0	0	1	not_found		
forward_c19_fishcard_1334	0	0	1	not_found		
forward_c19_fishcard_1335	0	0	1	not_found		
forward_c19_fishcard_1336	0	0	1	not_found		
forward_c19_fishcard_1337	0	0	1	not_found		
forward_c19_fishcard_1338	0	0	1	not_found		
forward_c19_fishcard_1339	0	0	1	not_found		
forward_c19_fishcard_1340	0	0	1	not_found		
forward_c19_fishcard_1341	0	0	1	not_found		
forward_c19_fishcard_1342	0	0	1	not_found		
forward_c19_fishcard_1343	0	0	1	not_found		
forward_c19_fishcard_1344	0	0	1	not_found		
forward_c19_fishcard_1345	0	0	1	not_found		
forward_c19_fishcard_1346	0	0	1	not_found		
forward_c19_fishcard_1347	0	0	1	not_found		
forward_c19_fishcard_1348	0	0	1	not_found		
forward_c19_fishcard_1349	0	0	1	not_found		
forward_c19_fishcard_1350	0	0	1	not_found		
forward_c19_fishcard_1351	0	0	1	not_found		
forward_c19_fishcard_1352	0	0	1	not_found		
forward_c19_fishcard_1353	0	0	1	not_found		
forward_c19_fishcard_1354	0	0	1	not_found		
forward_c19_fishcard_1355	0	0	1	not_found		
forward_c19_fishcard_1356	0	0	1	not_found		
forward_c19_fishcard_1357	0	0	1	not_found		
forward_c19_fishcard_1358	0	0	1	not_found		
forward_c19_fishcard_1359	0	0	1	not_found		
forward_c19_fishcard_1360	0	0	1	not_found		
forward_c19_fishcard_1361	0	0	1	not_found		
forward_c19_fishcard_1362	0	0	1	not_found		
forward_c19_fishcard_1363	0	0	1	not_found		
forward_c19_fishcard_1364	0	0	1	not_found		
forward_c19_fishcard_1365	0	0	1	not_found		
forward_c19_fishcard_1366	0	0	1	not_found		
forward_c19_fishcard_1367	0	0	1	not_found		
forward_c19_fishcard_1368	0	0	1	not_found		
forward_c19_fishcard_1369	0	0	1	not_found		
forward_c19_fishcard_1370	0	0	1	not_found		
forward_c19_fishcard_1371	0	0	1	not_found		
forward_c19_fishcard_1372	0	0	1	not_found		
forward_c19_fishcard_1373	0	0	1	not_found		
forward_c19_fishcard_1374	0	0	1	not_found		
forward_c19_fishcard_1375	0	0	1	not_found		
forward_c19_fishcard_1376	0	0	1	not_found		
forward_c19_fishcard_1377	0	0	1	not_found		
forward_c19_fishcard_1378	0	0	1	not_found		
forward_c19_fishcard_1379	0	0	1	not_found		
forward_c19_fishcard_1380	0	0	1	not_found		
forward_c19_fishcard_1381	0	0	1	not_found		
forward_c19_fishcard_1382	0	0	1	not_found		
forward_c19_fishcard_1383	0	0	1	not_found		
forward_c19_fishcard_1384	0	0	1	not_found		
forward_c19_fishcard_1385	0	0	1	not_found		
forward_c19_fishcard_1386	0	0	1	not_found		
forward_c19_fishcard_1387	0	0	1	not_found		
forward_c19_fishcard_1388	0	0	1	not_found		
forward_c19_fishcard_1389	0	0	1	not_found		
forward_c19_fishcard_1390	0	0	1	not_found		
forward_c19_fishcard_1391	0	0	1	not_found		
forward_c19_fishcard_1392	0	0	1	not_found		
forward_c19_fishcard_1393	0	0	1	not_found		
forward_c19_fishcard_1394	0	0	1	not_found		
forward_c19_fishcard_1395	0	0	1	not_found		
forward_c19_fishcard_1396	0	0	1	not_found		
forward_c19_fishcard_1397	0	0	1	not_found		
forward_c19_fishcard_1398	0	0	1	not_found		
forward_c19_fishcard_1399	0	0	1	not_found		
forward_c19_fishcard_1400	0	0	1	not_found		
forward_c19_fishcard_1401	0	0	1	not_found		
forward_c19_fishcard_1402	0	0	1	not_found		
forward_c19_fishcard_1403	0	0	1	not_found		
forward_c19_fishcard_1404	0	0	1	not_found		
forward_c19_fishcard_1405	0	0	1	not_found		
forward_c19_fishcard_1406	0	0	1	not_found		
forward_c19_fishcard_1407	0	0	1	not_found		
forward_c19_fishcard_1408	0	0	1	not_found		
forward_c19_fishcard_1409	0	0	1	not_found		
